dataset,policy,workers,total_jobs,total_simulation_time,average_waiting_time,average_turnaround_time,throughput,worker_utilization,starvation_risk_jobs
jobs_1000,FIFO,213,1000,127,0.00,15.57,7.874,57.57,0
jobs_1000,SJF,213,1000,127,0.00,15.57,7.874,57.57,0
jobs_1000,Priority,213,1000,127,0.00,15.57,7.874,57.57,0
jobs_1000,FIFO,214,1000,127,0.00,15.57,7.874,57.30,0
jobs_1000,SJF,214,1000,127,0.00,15.57,7.874,57.30,0
jobs_1000,Priority,214,1000,127,0.00,15.57,7.874,57.30,0
jobs_1000,FIFO,215,1000,127,0.00,15.57,7.874,57.04,0
jobs_1000,SJF,215,1000,127,0.00,15.57,7.874,57.04,0
jobs_1000,Priority,215,1000,127,0.00,15.57,7.874,57.04,0
jobs_1000,FIFO,216,1000,127,0.00,15.57,7.874,56.77,0
jobs_1000,SJF,216,1000,127,0.00,15.57,7.874,56.77,0
jobs_1000,Priority,216,1000,127,0.00,15.57,7.874,56.77,0
jobs_1000,FIFO,217,1000,127,0.00,15.57,7.874,56.51,0
jobs_1000,SJF,217,1000,127,0.00,15.57,7.874,56.51,0
jobs_1000,Priority,217,1000,127,0.00,15.57,7.874,56.51,0
jobs_1000,FIFO,218,1000,127,0.00,15.57,7.874,56.25,0
jobs_1000,SJF,218,1000,127,0.00,15.57,7.874,56.25,0
jobs_1000,Priority,218,1000,127,0.00,15.57,7.874,56.25,0
jobs_1000,FIFO,219,1000,127,0.00,15.57,7.874,56.00,0
jobs_1000,SJF,219,1000,127,0.00,15.57,7.874,56.00,0
jobs_1000,Priority,219,1000,127,0.00,15.57,7.874,56.00,0
jobs_1000,FIFO,220,1000,127,0.00,15.57,7.874,55.74,0
jobs_1000,SJF,220,1000,127,0.00,15.57,7.874,55.74,0
jobs_1000,Priority,220,1000,127,0.00,15.57,7.874,55.74,0
jobs_1000,FIFO,221,1000,127,0.00,15.57,7.874,55.49,0
jobs_1000,SJF,221,1000,127,0.00,15.57,7.874,55.49,0
jobs_1000,Priority,221,1000,127,0.00,15.57,7.874,55.49,0
jobs_1000,FIFO,222,1000,127,0.00,15.57,7.874,55.24,0
jobs_1000,SJF,222,1000,127,0.00,15.57,7.874,55.24,0
jobs_1000,Priority,222,1000,127,0.00,15.57,7.874,55.24,0
jobs_1000,FIFO,223,1000,127,0.00,15.57,7.874,54.99,0
jobs_1000,SJF,223,1000,127,0.00,15.57,7.874,54.99,0
jobs_1000,Priority,223,1000,127,0.00,15.57,7.874,54.99,0
jobs_1000,FIFO,224,1000,127,0.00,15.57,7.874,54.75,0
jobs_1000,SJF,224,1000,127,0.00,15.57,7.874,54.75,0
jobs_1000,Priority,224,1000,127,0.00,15.57,7.874,54.75,0
jobs_1000,FIFO,225,1000,127,0.00,15.57,7.874,54.50,0
jobs_1000,SJF,225,1000,127,0.00,15.57,7.874,54.50,0
jobs_1000,Priority,225,1000,127,0.00,15.57,7.874,54.50,0
jobs_1000,FIFO,226,1000,127,0.00,15.57,7.874,54.26,0
jobs_1000,SJF,226,1000,127,0.00,15.57,7.874,54.26,0
jobs_1000,Priority,226,1000,127,0.00,15.57,7.874,54.26,0
jobs_1000,FIFO,227,1000,127,0.00,15.57,7.874,54.02,0
jobs_1000,SJF,227,1000,127,0.00,15.57,7.874,54.02,0
jobs_1000,Priority,227,1000,127,0.00,15.57,7.874,54.02,0
jobs_1000,FIFO,228,1000,127,0.00,15.57,7.874,53.79,0
jobs_1000,SJF,228,1000,127,0.00,15.57,7.874,53.79,0
jobs_1000,Priority,228,1000,127,0.00,15.57,7.874,53.79,0
jobs_1000,FIFO,229,1000,127,0.00,15.57,7.874,53.55,0
jobs_1000,SJF,229,1000,127,0.00,15.57,7.874,53.55,0
jobs_1000,Priority,229,1000,127,0.00,15.57,7.874,53.55,0
